route_id,time_category,counts,counts_average,time_category_duration,frequency,route_no
112,peak_2,3,3,240,80,R68DOWN
113,non_peak_1,2,2,480,240,R68UP
113,non_peak_2,5,5,300,60,R68UP
113,peak_1,3,3,240,80,R68UP
113,peak_2,3,3,240,80,R68UP
114,non_peak_1,2,2,480,240,R69DOWN
114,non_peak_2,5,5,300,60,R69DOWN
114,peak_1,5,5,240,48,R69DOWN
114,peak_2,6,6,240,40,R69DOWN
115,non_peak_1,1,1,480,480,R69UP
115,non_peak_2,5,5,300,60,R69UP
115,non_peak_3,1,1,180,180,R69UP
115,peak_1,5,5,240,48,R69UP
115,peak_2,6,6,240,40,R69UP
116,non_peak_1,4,4,480,120,R70DOWN
116,non_peak_2,1,1,300,300,R70DOWN
116,peak_1,2,2,240,120,R70DOWN
116,peak_2,1,1,240,240,R70DOWN
117,non_peak_1,3,3,480,160,R70UP
117,non_peak_2,1,1,300,300,R70UP
117,peak_1,2,2,240,120,R70UP
117,peak_2,2,2,240,120,R70UP
118,non_peak_1,2,2,480,240,R71DOWN
118,non_peak_2,4,4,300,75,R71DOWN
118,peak_1,3,3,240,80,R71DOWN
118,peak_2,2,2,240,120,R71DOWN
119,non_peak_1,2,2,480,240,R71UP
119,non_peak_2,5,5,300,60,R71UP
119,peak_1,3,3,240,80,R71UP
119,peak_2,1,1,240,240,R71UP
120,non_peak_1,2,2,480,240,R72DOWN
120,non_peak_2,3,3,300,100,R72DOWN
120,peak_1,1,1,240,240,R72DOWN
120,peak_2,1,1,240,240,R72DOWN
121,non_peak_1,2,2,480,240,R72UP
121,non_peak_2,4,4,300,75,R72UP
121,peak_1,1,1,240,240,R72UP
122,non_peak_1,1,1,480,480,R73DOWN
122,non_peak_2,3,3,300,100,R73DOWN
122,peak_1,3,3,240,80,R73DOWN
122,peak_2,1,1,240,240,R73DOWN
123,non_peak_1,2,2,480,240,R73UP
123,non_peak_2,4,4,300,75,R73UP
123,peak_1,2,2,240,120,R73UP
124,non_peak_1,4,4,480,120,R74DOWN
124,non_peak_2,10,10,300,30,R74DOWN
124,non_peak_3,5,5,180,36,R74DOWN
124,peak_1,8,8,240,30,R74DOWN
124,peak_2,8,8,240,30,R74DOWN
125,non_peak_1,4,4,480,120,R74UP
125,non_peak_2,10,10,300,30,R74UP
125,non_peak_3,5,5,180,36,R74UP
125,peak_1,8,8,240,30,R74UP
125,peak_2,8,8,240,30,R74UP
126,non_peak_1,2,2,480,240,R75DOWN
126,non_peak_2,4,4,300,75,R75DOWN
126,non_peak_3,2,2,180,90,R75DOWN
126,peak_1,4,4,240,60,R75DOWN
126,peak_2,4,4,240,60,R75DOWN
127,non_peak_1,2,2,480,240,R75UP
127,non_peak_2,4,4,300,75,R75UP
127,non_peak_3,2,2,180,90,R75UP
127,peak_1,4,4,240,60,R75UP
127,peak_2,4,4,240,60,R75UP
128,non_peak_1,4,4,480,120,R76DOWN
128,non_peak_2,10,10,300,30,R76DOWN
128,non_peak_3,5,5,180,36,R76DOWN
128,peak_1,8,8,240,30,R76DOWN
128,peak_2,8,8,240,30,R76DOWN
129,non_peak_1,4,4,480,120,R76UP
129,non_peak_2,10,10,300,30,R76UP
129,non_peak_3,5,5,180,36,R76UP
129,peak_1,8,8,240,30,R76UP
129,peak_2,8,8,240,30,R76UP
130,non_peak_1,4,4,480,120,R77DOWN
130,non_peak_2,10,10,300,30,R77DOWN
130,non_peak_3,5,5,180,36,R77DOWN
130,peak_1,8,8,240,30,R77DOWN
130,peak_2,8,8,240,30,R77DOWN
131,non_peak_1,4,4,480,120,R77UP
131,non_peak_2,10,10,300,30,R77UP
131,non_peak_3,5,5,180,36,R77UP
131,peak_1,8,8,240,30,R77UP
131,peak_2,8,8,240,30,R77UP
132,non_peak_1,2,2,480,240,R78DOWN
132,non_peak_2,7,7,300,43,R78DOWN
132,peak_1,6,6,240,40,R78DOWN
132,peak_2,5,5,240,48,R78DOWN
133,non_peak_1,2,2,480,240,R78UP
133,non_peak_2,7,7,300,43,R78UP
133,peak_1,6,6,240,40,R78UP
133,peak_2,5,5,240,48,R78UP
134,non_peak_1,4,4,480,120,R79DOWN
134,non_peak_2,10,10,300,30,R79DOWN
134,non_peak_3,5,5,180,36,R79DOWN
134,peak_1,8,8,240,30,R79DOWN
134,peak_2,8,8,240,30,R79DOWN
135,non_peak_1,4,4,480,120,R79UP
135,non_peak_2,10,10,300,30,R79UP
135,non_peak_3,5,5,180,36,R79UP
135,peak_1,8,8,240,30,R79UP
135,peak_2,8,8,240,30,R79UP
136,non_peak_1,4,4,480,120,R80DOWN
136,non_peak_2,10,10,300,30,R80DOWN
136,non_peak_3,5,5,180,36,R80DOWN
136,peak_1,8,8,240,30,R80DOWN
136,peak_2,8,8,240,30,R80DOWN
137,non_peak_1,4,4,480,120,R80UP
137,non_peak_2,10,10,300,30,R80UP
137,non_peak_3,5,5,180,36,R80UP
137,peak_1,8,8,240,30,R80UP
137,peak_2,8,8,240,30,R80UP
138,non_peak_1,4,4,480,120,R81DOWN
138,non_peak_2,10,10,300,30,R81DOWN
138,non_peak_3,5,5,180,36,R81DOWN
138,peak_1,8,8,240,30,R81DOWN
138,peak_2,8,8,240,30,R81DOWN
139,non_peak_1,2,2,480,240,R81UP
139,non_peak_2,3,3,300,100,R81UP
139,peak_1,3,3,240,80,R81UP
